"","year_el","state","pc_no","n_college","position","Caste_Rec","dyn","source","assembly_no","month","poll_no","delimid","candidate","sex","party","votes","candidate_type","valid_votes","electors","constituency_name","constituency_type","sub_region","n_cand","turnout_percentage","vote_share_percentage","deposit_lost","margin","margin_percentage","enop","pid","party_type_tcpd","party_id","last_poll","contested","last_party","last_party_id","last_constituency_name","same_constituency","same_party","no_terms","turncoat","incumbent","recontest","myneta_education","tcpd_prof_main","tcpd_prof_main_desc","tcpd_prof_second","tcpd_prof_second_desc","election_type"
"13",1989,"goa",1,2,2,"","1","Evita",9,11,0,3,"SHANTARAM L. NAIK","M","INC",100555,"",239044,333994,"PANAJI","GEN","",13,71.57,42.07,"no",95641,40.01,2.38,"GEGA33860","National Party",3482,TRUE,2,"INC",3482,"PANAJI",TRUE,TRUE,1,FALSE,TRUE,TRUE,"","","","","","Lok Sabha Election (GE)"
"14",1989,"goa",2,2,1,"","0","Joel",9,11,0,3,"FALEIRO EDURADO MARTHINHO","M","INC",97545,"",178641,400321,"MORMUGAO","GEN","",12,44.62,54.6,"no",22066,12.35,2.08,"GEGA37196","National Party",3482,TRUE,4,"INC",3482,"MORMUGAO",TRUE,TRUE,4,FALSE,TRUE,TRUE,"","","","","","Lok Sabha Election (GE)"
"15",1989,"goa",2,2,2,"","0","Joel",9,11,0,3,"RABELLO FERDINO ASSIS","M","JD",75479,"",178641,400321,"MORMUGAO","GEN","",12,44.62,42.25,"no",73516,41.15,2.08,"AENA37556","National Party",4217,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"16",1989,"gujarat",1,2,1,"","","",9,11,0,3,"BABU BHAI MEGHJI SHAH","M","BJP",228394,"",395678,707040,"KUTCH","GEN","",12,55.96,57.72,"no",81564,20.61,2.13,"GEGJ37204","National Party",1605,TRUE,1,"",NA,"",NA,NA,1,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"17",1989,"gujarat",1,2,2,"","","",9,11,0,3,"USHA RAGHAVJI THAKER","F","INC",146830,"",395678,707040,"KUTCH","GEN","",12,55.96,37.11,"no",141814,35.84,2.13,"GEGJ33877","National Party",3482,TRUE,2,"INC",3482,"KUTCH",TRUE,TRUE,1,FALSE,TRUE,TRUE,"","","","","","Lok Sabha Election (GE)"
"18",1989,"gujarat",3,1,2,"","","",9,11,0,3,"JADEJA DOLATSINH PRATAPSINH","M","INC",136782,"",354570,819518,"JAMNAGAR","GEN","",11,43.27,38.58,"no",118651,33.46,2.44,"GEGJ22446","National Party",3482,TRUE,5,"INC",3482,"JAMNAGAR",TRUE,TRUE,3,FALSE,TRUE,TRUE,"","","","","","Lok Sabha Election (GE)"
"19",1989,"gujarat",3,1,1,"","0","TALHA",9,11,0,3,"KORADIYA CHANDRESH KUMAR VALJIBHAI (CHANDRESH PATEL)","M","BJP",182356,"GEN",354570,819518,"JAMNAGAR","GEN","",11,43.27,51.43,"no",45574,12.85,2.44,"GEGJ43716","National Party",1605,TRUE,1,"",NA,"",NA,NA,1,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"20",1989,"gujarat",3,1,3,"","","",9,11,0,3,"MADAM PRAVINBHAI HAMIRBHAI","M","IND",18131,"",354570,819518,"JAMNAGAR","GEN","",11,43.27,5.11,"yes",11668,3.29,2.44,"GEGJ37229","Independents",10809,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"21",1989,"gujarat",4,3,2,"","","",9,11,0,3,"MAVANI RAMABEN RAMJIBHI","F","INC",150759,"",513701,1092514,"RAJKOT","GEN","",18,47.02,29.35,"no",147185,28.65,1.85,"GEGJ33896","National Party",3482,TRUE,2,"INC",3482,"RAJKOT",TRUE,TRUE,1,FALSE,TRUE,TRUE,"","","","","","Lok Sabha Election (GE)"
"22",1989,"gujarat",4,3,1,"","","",9,11,0,3,"VEKARIA SHIVLAL NAGIBHAI","M","BJP",345185,"",513701,1092514,"RAJKOT","GEN","",18,47.02,67.2,"no",194426,37.85,1.85,"GEGJ37243","National Party",1605,TRUE,1,"",NA,"",NA,NA,1,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"23",1989,"gujarat",9,1,2,"","","",9,11,0,3,"MAKWANA NARSINHBHAI KARSABHAI","M","INC",146683,"",449784,890279,"DHANDHUKA","SC","",13,50.52,32.61,"no",142929,31.78,1.92,"GEGJ36234","National Party",3482,TRUE,4,"INC",3482,"DHANDHUKA",TRUE,TRUE,2,FALSE,TRUE,TRUE,"","","","","","Lok Sabha Election (GE)"
"24",1989,"gujarat",9,1,1,"","","",9,11,0,3,"RATILAL KALIDAS VERMA","M","BJP",288301,"SC",449784,890279,"DHANDHUKA","SC","",13,50.52,64.1,"no",141618,31.49,1.92,"GEGJ33945","National Party",1605,TRUE,2,"BJP",1605,"DHANDHUKA",TRUE,TRUE,1,FALSE,FALSE,TRUE,"","","","","","Lok Sabha Election (GE)"
"25",1989,"gujarat",10,1,1,"UC","0","Patrick French",9,11,0,3,"HARIN PATHAK","M","BJP",334098,"GEN",570267,996893,"AHMEDABAD","GEN","",15,57.2,58.59,"no",147357,25.84,2.22,"AEGJ4304","National Party",1605,TRUE,1,"",NA,"",NA,NA,1,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"26",1989,"gujarat",10,1,3,"","","",9,11,0,3,"MOH. HANIF HUSENBHAI SAIKH (MANDALI)","M","DMM",39174,"",570267,996893,"AHMEDABAD","GEN","",15,57.2,6.87,"yes",36246,6.36,2.22,"GEGJ36241","Local Party",10213,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"27",1989,"gujarat",10,1,2,"","","",9,11,0,3,"RAJPUT SURENDRA KUMAR NETRAPALSINH (SURENDRA RAJPUT)","M","INC",186741,"",570267,996893,"AHMEDABAD","GEN","",15,57.2,32.75,"no",147567,25.88,2.22,"GEGJ36245","National Party",3482,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"28",1989,"gujarat",11,2,2,"","","",9,11,0,3,"KOKILA VAYAS","F","INC",226891,"",748118,1318428,"GANDHINAGAR","GEN","",19,56.74,30.33,"no",216710,28.97,1.89,"GEGJ37345","National Party",3482,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"29",1989,"gujarat",11,2,1,"","","",9,11,0,3,"VEGHELA SHANKARJI LAXMANJI","M","BJP",495383,"GEN",748118,1318428,"GANDHINAGAR","GEN","",19,56.74,66.22,"no",268492,35.89,1.89,"GEGJ24001","National Party",1605,TRUE,3,"JNP",4406,"KAPADVANJ",FALSE,FALSE,2,TRUE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"30",1989,"gujarat",13,1,1,"","","",9,11,0,3,"CHAWADA KHEM CHANDBHAI SOMABHAI","M","JD",346562,"",496093,928054,"PATAN","SC","",8,53.46,69.86,"no",213054,42.95,1.79,"GEGJ34000","National Party",4217,TRUE,5,"JNP",4406,"PATAN",TRUE,FALSE,3,TRUE,FALSE,TRUE,"","","","","","Lok Sabha Election (GE)"
"31",1989,"gujarat",13,1,2,"SC","0","TALHA",9,11,0,3,"YOGENDRA MAKWANA","M","INC",133508,"",496093,928054,"PATAN","SC","",8,53.46,26.91,"no",127649,25.73,1.79,"GEGJ63521","National Party",3482,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"32",1989,"gujarat",15,4,1,"","","",9,11,0,3,"MAGANBHAI MANIBHAI PATEL","M","JD",286947,"",506785,935924,"SABARKANTHA","GEN","",11,54.15,56.62,"no",103456,20.41,2.22,"GEGJ26280","National Party",4217,TRUE,2,"IND",10809,"SABARKANTHA",TRUE,FALSE,1,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"33",1989,"gujarat",15,4,2,"","","",9,11,0,3,"TARNA ARJUNSINH GURJAR","F","INC",183491,"",506785,935924,"SABARKANTHA","GEN","",11,54.15,36.21,"no",163877,32.34,2.22,"GEGJ39579","National Party",3482,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"34",1989,"gujarat",17,2,2,"","0","Khush",9,11,0,3,"BHABHOR SUMAN BHAI RANGIBHAI","M","JD",141015,"",322487,841474,"DOHAD","ST","",5,38.32,43.73,"no",133707,41.46,2.17,"GEGJ39588","National Party",4217,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"35",1989,"gujarat",17,2,1,NA,"1","Bhanu",9,11,0,3,"SOMAIBAHI DAMOR","M","INC",168774,"ST",322487,841474,"DOHAD","ST","",5,38.32,52.34,"no",27759,8.61,2.17,"GEGJ3153","National Party",3482,TRUE,5,"INC",3482,"DOHAD",TRUE,TRUE,4,FALSE,TRUE,TRUE,"","","","","","Lok Sabha Election (GE)"
"36",1989,"gujarat",18,2,2,"OBC","0","Patrick French",9,11,0,3,"CHAUHAN PRABHATSINGH PRATAPSINH","M","INC",169018,"GEN",410560,831918,"GODHRA","GEN","",6,49.35,41.17,"no",161809,39.41,2.08,"AEGJ12357","National Party",3482,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"37",1989,"gujarat",18,2,1,"","","",9,11,0,3,"PATEL SHANTILA PURUSHOTTAMDAS","M","JD",229391,"",410560,831918,"GODHRA","GEN","",6,49.35,55.87,"no",60373,14.71,2.08,"GEGJ82188","National Party",4217,TRUE,2,"JNP",4406,"GODHRA",TRUE,FALSE,2,TRUE,TRUE,TRUE,"","","","","","Lok Sabha Election (GE)"
"38",1989,"gujarat",23,2,2,"","","",9,11,0,3,"AHEMADBHAI MAHMMADBHAI PATEL","M","INC",245046,"",624336,914569,"BROACH","GEN","",8,68.27,39.25,"no",235024,37.64,2.08,"GEGJ24759","National Party",3482,TRUE,4,"INC",3482,"BROACH",TRUE,TRUE,3,FALSE,TRUE,TRUE,"","","","","","Lok Sabha Election (GE)"
"39",1989,"gujarat",23,2,1,"","","",9,11,0,3,"DESHMUKH CHANDUBHAI SHAMBHAI","M","BJP",360381,"",624336,914569,"BROACH","GEN","",8,68.27,57.72,"no",115335,18.47,2.08,"GEGJ39629","National Party",1605,TRUE,3,"JNP",4406,"BROACH",TRUE,FALSE,1,TRUE,FALSE,TRUE,"","","","","","Lok Sabha Election (GE)"
"40",1989,"gujarat",25,1,2,"","","",9,11,0,3,"DONWALA NARANBHAI HARJIBHAI","M","JD",179319,"",417617,893665,"MANDVI","ST","",6,46.73,42.94,"no",174148,41.7,2.13,"GEGJ20365","National Party",4217,TRUE,2,"IND",10809,"MANDVI",TRUE,FALSE,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"41",1989,"gujarat",25,1,1,"","","",9,11,0,3,"GHAMIT CHHITUBHAI DEVIBHAI","M","INC",225458,"",417617,893665,"MANDVI","ST","",6,46.73,53.99,"no",46139,11.05,2.13,"GEGJ24769","National Party",3482,TRUE,4,"INC",3482,"MANDVI",TRUE,TRUE,4,FALSE,TRUE,TRUE,"","","","","","Lok Sabha Election (GE)"
"42",1989,"gujarat",26,2,1,"","","",9,11,0,3,"AJUNBHAI LALLUBHAI PATEL","M","JD",223146,"",438120,958712,"BULSAR","ST","",4,45.7,50.93,"no",22085,5.04,2.13,"GEGJ39654","National Party",4217,TRUE,1,"",NA,"",NA,NA,1,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"43",1989,"gujarat",26,2,2,"","","",9,11,0,3,"PATEL UTTAMBHAI HARJIBHAI","M","INC",201061,"",438120,958712,"BULSAR","ST","",4,45.7,45.89,"no",194094,44.3,2.13,"GEGJ25962","National Party",3482,TRUE,3,"INC",3482,"BULSAR",TRUE,TRUE,2,FALSE,TRUE,TRUE,"","","","","","Lok Sabha Election (GE)"
"44",1989,"haryana",4,1,2,"","0","TALHA",9,11,0,3,"DHARAMPAL SINGH","M","INC",237287,"GEN",605122,943188,"SONEPAT","GEN","",24,64.16,39.21,"no",208036,34.38,2.44,"AEHR1499","National Party",3482,TRUE,2,"INC",3482,"SONEPAT",TRUE,TRUE,1,FALSE,TRUE,TRUE,"","","","","","Lok Sabha Election (GE)"
"45",1989,"haryana",4,1,1,"IC","0","TALHA",9,11,0,3,"KAPIL DEV","M","JD",308291,"",605122,943188,"SONEPAT","GEN","",24,64.16,50.95,"no",71004,11.73,2.44,"GEHR39747","National Party",4217,TRUE,1,"",NA,"",NA,NA,1,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"46",1989,"haryana",5,1,1,"IC","1","Kushpal",9,11,0,3,"DEVI LAL","M","JD",390243,"",607763,908794,"ROHTAK","GEN","",24,66.88,64.21,"no",189005,31.1,1.92,"GEHR39750","National Party",4217,TRUE,3,"LKD",4996,"SONEPAT",FALSE,FALSE,2,TRUE,FALSE,TRUE,"","","","","","Lok Sabha Election (GE)"
"47",1989,"haryana",5,1,2,"","0","Sarvapriya",9,11,0,3,"HARDWARI LAL","M","INC",201238,"",607763,908794,"ROHTAK","GEN","",24,66.88,33.11,"no",198812,32.71,1.92,"GEHR30893","National Party",3482,TRUE,2,"INC",3482,"ROHTAK",TRUE,TRUE,1,FALSE,FALSE,TRUE,"","","","","","Lok Sabha Election (GE)"
"48",1989,"haryana",6,2,1,"IC","0","Not Known",9,11,0,3,"BHAJAN LAL","M","INC",404646,"GEN",699932,1131257,"FARIDABAD","GEN","",18,61.87,57.81,"no",131227,18.75,2.08,"AEHR828","National Party",3482,TRUE,1,"",NA,"",NA,NA,1,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"49",1989,"haryana",6,2,2,"MUSLIM","1","TALHA",9,11,0,3,"KHURSID AHMAD CHAUDHRY","M","JD",273419,"",699932,1131257,"FARIDABAD","GEN","",18,61.87,39.06,"no",266696,38.1,2.08,"GEHR24076","National Party",4217,TRUE,3,"JNP",4406,"FARIDABAD",TRUE,FALSE,0,TRUE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"50",1989,"haryana",7,1,1,"","1","TALHA",9,11,0,3,"BIRENDER SINGH","M","JD",304805,"GEN",637203,1057536,"MAHENDRAGARH","GEN","",18,60.25,47.83,"no",3510,0.55,2.22,"GEHR300391","National Party",4217,TRUE,1,"",NA,"",NA,NA,1,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"51",1989,"haryana",7,1,2,"","0","TALHA",9,11,0,3,"RAM SINGH","M","INC",301295,"",637203,1057536,"MAHENDRAGARH","GEN","",18,60.25,47.28,"no",294136,46.16,2.22,"GEHR39795","National Party",3482,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"52",1989,"karnataka",1,4,3,"","0","Sriniwas",9,11,0,3,"K.PUNDALIKRAO SHETTIBA","M","JD",134380,"",550865,993316,"BIDAR","SC","",14,55.46,24.39,"no",96397,17.5,4.55,"GEKA15003","National Party",4217,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"53",1989,"karnataka",1,4,4,"","0","Sriniwas",9,11,0,3,"MADANA PUNDALIKARAO PRABHANNA","M","JNP (JP)",37983,"",550865,993316,"BIDAR","SC","",14,55.46,6.9,"yes",9844,1.79,4.55,"GEKA15004","National Party",4406,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"54",1989,"karnataka",1,4,1,"","","",9,11,0,3,"NARSINGRAO SURYA VANSHI","M","INC",177828,"SC",550865,993316,"BIDAR","SC","",14,55.46,32.28,"no",38947,7.07,4.55,"GEKA14599","National Party",3482,TRUE,3,"INC",3482,"BIDAR",TRUE,TRUE,3,FALSE,TRUE,TRUE,"","","","","","Lok Sabha Election (GE)"
"55",1989,"karnataka",1,4,2,"","","",9,11,0,3,"PRABHUDEV KALMATH","M","IND",138881,"",550865,993316,"BIDAR","SC","",14,55.46,25.21,"no",4501,0.82,4.55,"GEKA15002","Independents",10809,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"56",1989,"karnataka",1,4,5,"","","",9,11,0,3,"RAMRAO LOBICHAND RATHOD","M","IND",28139,"",550865,993316,"BIDAR","SC","",14,55.46,5.11,"yes",17328,3.15,4.55,"GEKA15005","Independents",10809,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"57",1989,"karnataka",2,4,2,"","","",9,11,0,3,"ABDUL HAMEED","M","JD",174958,"",598903,1035569,"GULBARGA","GEN","",11,57.83,29.21,"no",82051,13.7,3.03,"GEKA15014","National Party",4217,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"58",1989,"karnataka",2,4,1,"","","",9,11,0,3,"B.G.JAWALI","M","INC",283796,"",598903,1035569,"GULBARGA","GEN","",11,57.83,47.39,"no",108838,18.17,3.03,"GEKA15013","National Party",3482,TRUE,1,"",NA,"",NA,NA,1,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"59",1989,"karnataka",2,4,3,"","","",9,11,0,3,"MALLESHAPPA YEWOOR","M","JNP (JP)",92907,"",598903,1035569,"GULBARGA","GEN","",11,57.83,15.51,"yes",80131,13.38,3.03,"GEKA15015","National Party",4406,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"60",1989,"karnataka",5,1,1,"","","",9,11,0,3,"BASAVARAJESWERI","F","INC",336337,"",647775,1031006,"BELLARY","GEN","",4,62.83,51.92,"no",76085,11.75,2.33,"GEKA14766","National Party",3482,TRUE,2,"INC",3482,"BELLARY",TRUE,TRUE,2,FALSE,TRUE,TRUE,"","","","","","Lok Sabha Election (GE)"
"61",1989,"karnataka",5,1,3,"","0","Dhruva",9,11,0,3,"KOTRAIAH GURUVINA","M","JNP (JP)",40466,"",647775,1031006,"BELLARY","GEN","",4,62.83,6.25,"yes",29746,4.59,2.33,"GEKA5541","National Party",4406,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"62",1989,"karnataka",5,1,2,"","0","Dhruva",9,11,0,3,"N.THIPPANA","M","JD",260252,"",647775,1031006,"BELLARY","GEN","",4,62.83,40.18,"no",219786,33.93,2.33,"GEKA14505","National Party",4217,TRUE,2,"BLD",1711,"BELLARY",TRUE,FALSE,0,TRUE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"63",1989,"karnataka",6,3,1,"","","",9,11,0,3,"CHANNAIAH ODEYAR","M","INC",369969,"GEN",707290,1079519,"DAVANGERE","GEN","",5,65.52,52.31,"no",76120,10.76,2.27,"GEKA571","National Party",3482,TRUE,2,"INC",3482,"DAVANGERE",TRUE,TRUE,2,FALSE,TRUE,TRUE,"","","","","","Lok Sabha Election (GE)"
"64",1989,"karnataka",6,3,2,"","","",9,11,0,3,"K.G.MAHESWARAPPA","M","JD",293849,"",707290,1079519,"DAVANGERE","GEN","",5,65.52,41.55,"no",257940,36.47,2.27,"AEKA105805","National Party",4217,TRUE,3,"JNP",4406,"DAVANGERE",TRUE,FALSE,0,TRUE,FALSE,TRUE,"","","","","","Lok Sabha Election (GE)"
"65",1989,"karnataka",6,3,3,"","","",9,11,0,3,"M.GANGADHARAIAH","M","JNP (JP)",35909,"",707290,1079519,"DAVANGERE","GEN","",5,65.52,5.08,"yes",30894,4.37,2.27,"AEKA107549","National Party",4406,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"66",1989,"karnataka",7,1,1,"","1","TALHA",9,11,0,3,"C.P.MUDALAGIRIYAPPA","M","INC",339303,"GEN",662309,1026027,"CHITRADURGA","GEN","",6,64.55,51.23,"no",142193,21.47,2.7,"GEKA11430","National Party",3482,TRUE,1,"",NA,"",NA,NA,1,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"67",1989,"karnataka",7,1,2,"","","",9,11,0,3,"M.SANNA CHIKKAPPA","M","JD",197110,"",662309,1026027,"CHITRADURGA","GEN","",6,64.55,29.76,"no",99382,15.01,2.7,"AEKA11416","National Party",4217,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"68",1989,"karnataka",7,1,3,"","","",9,11,0,3,"V.S.UGRAPPA","M","JNP (JP)",97728,"ST",662309,1026027,"CHITRADURGA","GEN","",6,64.55,14.76,"yes",74380,11.23,2.7,"GEKA15032","National Party",4406,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"69",1989,"karnataka",8,2,3,"","","",9,11,0,3,"D.T.MAYANNA","M","JD",109673,"",674040,963069,"TUMKUR","GEN","",6,69.99,16.27,"yes",105369,15.63,2.44,"AEKA106673","National Party",4217,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"70",1989,"karnataka",8,2,1,"IC","0","Not Known",9,11,0,3,"G.S.BASAVARAJ","M","INC",376878,"GEN",674040,963069,"TUMKUR","GEN","",6,69.99,55.91,"no",199138,29.54,2.44,"AEKA8028","National Party",3482,TRUE,2,"INC",3482,"TUMKUR",TRUE,TRUE,2,FALSE,TRUE,TRUE,"","","","","","Lok Sabha Election (GE)"
"71",1989,"karnataka",8,2,2,"","","",9,11,0,3,"Y.K.RAMALAH","M","JNP (JP)",177740,"",674040,963069,"TUMKUR","GEN","",6,69.99,26.37,"no",68067,10.1,2.44,"GEKA15036","National Party",4406,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"72",1989,"karnataka",9,1,2,"","","",9,11,0,3,"CHANDRASHEKARA","M","JD",230750,"",697076,979204,"CHIKBALLAPUR","GEN","",7,71.19,33.1,"no",143395,20.57,2.44,"GEKA15040","National Party",4217,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
"73",1989,"karnataka",9,1,3,"","","",9,11,0,3,"S.MUNIYAPPA","M","JNP (JP)",87355,"",697076,979204,"CHIKBALLAPUR","GEN","",7,71.19,12.53,"yes",82391,11.82,2.44,"GEKA15041","National Party",4406,TRUE,1,"",NA,"",NA,NA,0,FALSE,FALSE,FALSE,"","","","","","Lok Sabha Election (GE)"
